;title;tconst;primaryTitle;startYear;runtimeMinutes;genres;averageRating;numVotes;Action;Adult;Adventure;Animation;Biography;Comedy;Crime;Documentary;Drama;Family;Fantasy;Film-Noir;Game-Show;History;Horror;Music;Musical;Mystery;News;Reality-TV;Romance;Sci-Fi;Short;Sport;Talk-Show;Thriller;War;Western;decade
18783;Vampire lesbos;tt0066380;Vampyros Lesbos;1971;89;Drama,Horror;5.3;4614;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18784;Vampiros Lesbos;tt0066380;Vampyros Lesbos;1971;89;Drama,Horror;5.3;4614;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18785;Soldat bleu;tt0066390;Soldier Blue;1970;115;Western;6.9;5474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1970
18786;Le Soldat bleu;tt0066390;Soldier Blue;1970;115;Western;6.9;5474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1970
18791;Place aux jeunes;tt0066401;Spring and Port Wine;1970;101;Drama;7.1;725;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18792;Commencez la révolution sans nous;tt0066402;Start the Revolution Without Me;1970;90;Comedy,History;6.4;2843;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18793;Jours tranquilles à Clichy;tt0066407;Quiet Days in Clichy;1970;91;Comedy,Drama;5.2;980;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18795;L'étrange vice de Madame Wardh;tt0066412;The Strange Vice of Mrs. Wardh;1971;100;Crime,Horror,Mystery;6.9;4639;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1970
18796;La stratégie de l'araignée;tt0066413;The Spider's Stratagem;1970;100;Drama,Mystery;6.9;2781;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1970
18797;Des fraises et du sang;tt0066415;The Strawberry Statement;1970;109;Drama,Romance;6.7;1666;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1970
18799;Les inconnus de Malte;tt0066420;Sudden Terror;1970;91;Crime,Drama,Thriller;6.0;655;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1970
18801;Sur un arbre perché;tt0066423;Perched on a Tree;1971;90;Comedy;6.3;3051;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18803;THX 1138;tt0066434;THX 1138;1971;86;Drama,Sci-Fi,Thriller;6.7;50905;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1970
18805;Dis-moi que tu m'aimes, Junie Moon;tt0066445;Tell Me That You Love Me, Junie Moon;1970;113;Comedy,Drama,Romance;6.1;932;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1970
18806;Le reptile;tt0066448;There Was a Crooked Man...;1970;126;Comedy,Western;6.9;4648;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1970
18807;Une fille dans ma soupe;tt0066449;There's a Girl in My Soup;1970;95;Comedy,Romance;5.7;2530;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1970
18808;Appelez-moi Monsieur Tibbs !;tt0066450;They Call Me Mister Tibbs!;1970;108;Crime,Drama,Mystery;6.0;3817;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1970
18815;Il est mort après la guerre;tt0066466;The Man Who Put His Will on Film;1970;94;Drama;7.0;668;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18817;Trop tard pour les héros;tt0066471;Too Late the Hero;1970;145;Action,Drama,War;6.7;3582;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1970
